instance,agent,run,seed,cost,return,done,route
Random_15_nodes,VI_optimal,14,10055,567.8108291625977,-567.8108291625977,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,Classic_DP_base,14,10055,567.8108291625977,-567.8108291625977,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,A2C,14,10055,355.5719757080078,-355.5719757080078,True,"[12, 10, 8, 11, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 12]"
Random_15_nodes,PointerNet,14,10055,610.0,-610.0,True,"[12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 12]"
Random_15_nodes,Heuristic,14,10055,204.9267168045044,-204.9267168045044,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,15,10056,530.9792308807373,-530.9792308807373,True,"[10, 6, 14, 9, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 10]"
Random_15_nodes,Classic_DP_base,15,10056,530.9792308807373,-530.9792308807373,True,"[10, 6, 14, 9, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 10]"
Random_15_nodes,A2C,15,10056,352.0,-352.0,True,"[10, 11, 8, 12, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 10]"
Random_15_nodes,PointerNet,15,10056,464.0,-464.0,True,"[10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 10]"
Random_15_nodes,Heuristic,15,10056,205.76104736328125,-205.76104736328125,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,16,10057,484.55913162231445,-484.55913162231445,True,"[14, 6, 13, 9, 2, 11, 7, 3, 12, 5, 0, 8, 10, 4, 1, 14]"
Random_15_nodes,Classic_DP_base,16,10057,484.55913162231445,-484.55913162231445,True,"[14, 6, 13, 9, 2, 11, 7, 3, 12, 5, 0, 8, 10, 4, 1, 14]"
Random_15_nodes,A2C,16,10057,398.49316787719727,-398.49316787719727,True,"[14, 10, 8, 11, 7, 3, 9, 0, 6, 12, 5, 2, 13, 1, 4, 14]"
Random_15_nodes,PointerNet,16,10057,535.0,-535.0,True,"[14, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
Random_15_nodes,Heuristic,16,10057,206.14574432373047,-206.14574432373047,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,17,10058,331.3016357421875,-331.3016357421875,True,"[5, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 4, 1, 5]"
Random_15_nodes,Classic_DP_base,17,10058,331.3016357421875,-331.3016357421875,True,"[5, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 4, 1, 5]"
Random_15_nodes,A2C,17,10058,327.13781356811523,-327.13781356811523,True,"[5, 11, 9, 12, 8, 3, 10, 0, 7, 13, 6, 2, 14, 1, 4, 5]"
Random_15_nodes,PointerNet,17,10058,597.0,-597.0,True,"[5, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 5]"
Random_15_nodes,Heuristic,17,10058,207.3718023300171,-207.3718023300171,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,18,10059,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,Classic_DP_base,18,10059,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,A2C,18,10059,368.52613067626953,-368.52613067626953,True,"[2, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 1, 5, 2]"
Random_15_nodes,PointerNet,18,10059,543.0,-543.0,True,"[2, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2]"
Random_15_nodes,Heuristic,18,10059,208.97258186340332,-208.97258186340332,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,19,10060,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,Classic_DP_base,19,10060,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,A2C,19,10060,386.11263275146484,-386.11263275146484,True,"[2, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 1, 5, 2]"
Random_15_nodes,PointerNet,19,10060,543.0,-543.0,True,"[2, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2]"
Random_15_nodes,Heuristic,19,10060,207.4722604751587,-207.4722604751587,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,20,10061,277.0,-277.0,True,"[0, 7, 14, 10, 3, 12, 8, 4, 13, 6, 1, 9, 11, 5, 2, 0]"
Random_15_nodes,Classic_DP_base,20,10061,277.0,-277.0,True,"[0, 7, 14, 10, 3, 12, 8, 4, 13, 6, 1, 9, 11, 5, 2, 0]"
Random_15_nodes,A2C,20,10061,373.1001205444336,-373.1001205444336,True,"[0, 11, 9, 12, 8, 4, 10, 1, 7, 13, 6, 3, 14, 2, 5, 0]"
Random_15_nodes,PointerNet,20,10061,535.0,-535.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0]"
Random_15_nodes,Heuristic,20,10061,209.09507369995117,-209.09507369995117,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,21,10062,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,Classic_DP_base,21,10062,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,A2C,21,10062,342.71839141845703,-342.71839141845703,True,"[4, 11, 9, 12, 8, 3, 10, 0, 7, 13, 6, 2, 14, 1, 5, 4]"
Random_15_nodes,PointerNet,21,10062,551.1245193481445,-551.1245193481445,True,"[4, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 4]"
Random_15_nodes,Heuristic,21,10062,205.26607608795166,-205.26607608795166,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,22,10063,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
